USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.1  0.0  23196 14608 ?        Ss   May04  22:56 /usr/lib/systemd/systemd --system --deserialize=79
root           2  0.0  0.0      0     0 ?        S    May04   0:02 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    May04   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-rcu_g]
root           5  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-rcu_p]
root           6  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-slub_]
root           7  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-netns]
root          12  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-mm_pe]
root          13  0.0  0.0      0     0 ?        I    May04   0:00 [rcu_tasks_kthread]
root          14  0.0  0.0      0     0 ?        I    May04   0:00 [rcu_tasks_rude_kthread]
root          15  0.0  0.0      0     0 ?        I    May04   0:00 [rcu_tasks_trace_kthread]
root          16  0.0  0.0      0     0 ?        S    May04   0:31 [ksoftirqd/0]
root          17  0.1  0.0      0     0 ?        R    May04  15:48 [rcu_preempt]
root          18  0.0  0.0      0     0 ?        S    May04   0:22 [migration/0]
root          19  0.0  0.0      0     0 ?        S    May04   0:00 [idle_inject/0]
root          20  0.0  0.0      0     0 ?        S    May04   0:00 [cpuhp/0]
root          21  0.0  0.0      0     0 ?        S    May04   0:00 [cpuhp/1]
root          22  0.0  0.0      0     0 ?        S    May04   0:00 [idle_inject/1]
root          23  0.0  0.0      0     0 ?        S    May04   0:25 [migration/1]
root          24  0.0  0.0      0     0 ?        S    May04   0:27 [ksoftirqd/1]
root          27  0.0  0.0      0     0 ?        S    May04   0:00 [cpuhp/2]
root          28  0.0  0.0      0     0 ?        S    May04   0:00 [idle_inject/2]
root          29  0.0  0.0      0     0 ?        S    May04   0:23 [migration/2]
root          30  0.0  0.0      0     0 ?        S    May04   0:23 [ksoftirqd/2]
root          33  0.0  0.0      0     0 ?        S    May04   0:00 [cpuhp/3]
root          34  0.0  0.0      0     0 ?        S    May04   0:00 [idle_inject/3]
root          35  0.0  0.0      0     0 ?        S    May04   0:23 [migration/3]
root          36  0.0  0.0      0     0 ?        S    May04   0:22 [ksoftirqd/3]
root          39  0.0  0.0      0     0 ?        S    May04   0:00 [cpuhp/4]
root          40  0.0  0.0      0     0 ?        S    May04   0:00 [idle_inject/4]
root          41  0.0  0.0      0     0 ?        S    May04   0:24 [migration/4]
root          42  0.0  0.0      0     0 ?        S    May04   0:23 [ksoftirqd/4]
root          45  0.0  0.0      0     0 ?        S    May04   0:00 [cpuhp/5]
root          46  0.0  0.0      0     0 ?        S    May04   0:00 [idle_inject/5]
root          47  0.0  0.0      0     0 ?        S    May04   0:23 [migration/5]
root          48  0.0  0.0      0     0 ?        S    May04   0:23 [ksoftirqd/5]
root          51  0.0  0.0      0     0 ?        S    May04   0:00 [cpuhp/6]
root          52  0.0  0.0      0     0 ?        S    May04   0:00 [idle_inject/6]
root          53  0.0  0.0      0     0 ?        S    May04   0:24 [migration/6]
root          54  0.0  0.0      0     0 ?        S    May04   0:59 [ksoftirqd/6]
root          57  0.0  0.0      0     0 ?        S    May04   0:00 [cpuhp/7]
root          58  0.0  0.0      0     0 ?        S    May04   0:00 [idle_inject/7]
root          59  0.0  0.0      0     0 ?        S    May04   0:24 [migration/7]
root          60  0.0  0.0      0     0 ?        S    May04   0:38 [ksoftirqd/7]
root          63  0.0  0.0      0     0 ?        S    May04   0:00 [kdevtmpfs]
root          64  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-inet_]
root          65  0.0  0.0      0     0 ?        S    May04   0:00 [kauditd]
root          67  0.0  0.0      0     0 ?        S    May04   0:01 [khungtaskd]
root          69  0.0  0.0      0     0 ?        S    May04   0:00 [oom_reaper]
root          71  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-write]
root          72  0.0  0.0      0     0 ?        S    May04   3:20 [kcompactd0]
root          73  0.0  0.0      0     0 ?        SN   May04   0:00 [ksmd]
root          74  0.0  0.0      0     0 ?        SN   May04   0:05 [khugepaged]
root          75  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-kinte]
root          76  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-kbloc]
root          77  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-blkcg]
root          78  0.0  0.0      0     0 ?        S    May04   0:00 [irq/9-acpi]
root          83  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-tpm_d]
